host,time,readable_time,Abs-Humidity-ACT,Abs-Humidity-MAX,Abs-Humidity-MIN,Abs-Humidity-SET,Fan-Circ-ACT,Fan-Circ-MAX,Fan-Circ-MIN,Fan-Circ-SET,Fan-Exhaust-ACT,Fan-Exhaust-MAX,Fan-Exhaust-MIN,Fan-Exhaust-SET,Pressure-ACT,Pressure-MAX,Pressure-MIN,Pressure-SET,Rel-Humidity-ACT,Rel-Humidity-MAX,Rel-Humidity-MIN,Rel-Humidity-SET,STATUS,Temperature-ACT,Temperature-MAX,Temperature-MIN,Temperature-SET
,1584430506000,2020-03-17T15:35:06Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430511000,2020-03-17T15:35:11Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430516000,2020-03-17T15:35:16Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.17,85,-45,25
,1584430526000,2020-03-17T15:35:26Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430531000,2020-03-17T15:35:31Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.17,85,-45,25
,1584430537000,2020-03-17T15:35:37Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430542000,2020-03-17T15:35:42Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.17,85,-45,25
,1584430547000,2020-03-17T15:35:47Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430552000,2020-03-17T15:35:52Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430567000,2020-03-17T15:36:07Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430573000,2020-03-17T15:36:13Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.219999,85,-45,25
,1584430578000,2020-03-17T15:36:18Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.23,85,-45,25
,1584430593000,2020-03-17T15:36:33Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.24,85,-45,25
,1584430598000,2020-03-17T15:36:38Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.26,85,-45,25
,1584430609000,2020-03-17T15:36:49Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.26,85,-45,25
,1584430624000,2020-03-17T15:37:04Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.26,85,-45,25
,1584430629000,2020-03-17T15:37:09Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.24,85,-45,25
,1584430634000,2020-03-17T15:37:14Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.26,85,-45,25
,1584430639000,2020-03-17T15:37:19Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.26,85,-45,25
,1584430644000,2020-03-17T15:37:24Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.26,85,-45,25
,1584430650000,2020-03-17T15:37:30Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.23,85,-45,25
,1584430655000,2020-03-17T15:37:35Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.24,85,-45,25
,1584430665000,2020-03-17T15:37:45Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.26,85,-45,25
,1584430675000,2020-03-17T15:37:55Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.24,85,-45,25
,1584430680000,2020-03-17T15:38:00Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.23,85,-45,25
,1584430686000,2020-03-17T15:38:06Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.24,85,-45,25
,1584430691000,2020-03-17T15:38:11Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.26,85,-45,25
,1584430696000,2020-03-17T15:38:16Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.24,85,-45,25
,1584430701000,2020-03-17T15:38:21Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.24,85,-45,25
,1584430706000,2020-03-17T15:38:26Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.26,85,-45,25
,1584430716000,2020-03-17T15:38:36Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.26,85,-45,25
,1584430722000,2020-03-17T15:38:42Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.24,85,-45,25
,1584430727000,2020-03-17T15:38:47Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.209999,85,-45,25
,1584430732000,2020-03-17T15:38:52Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.219999,85,-45,25
,1584430737000,2020-03-17T15:38:57Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.23,85,-45,25
,1584430742000,2020-03-17T15:39:02Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.24,85,-45,25
,1584430747000,2020-03-17T15:39:07Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.280001,85,-45,25
,1584430752000,2020-03-17T15:39:12Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.280001,85,-45,25
,1584430757000,2020-03-17T15:39:17Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.290001,85,-45,25
,1584430768000,2020-03-17T15:39:28Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.309999,85,-45,25
